"PROFILO DEI LAUREATI"
"",""
"Numero di laureati","54"
"Hanno compilato il questionario","53"
"Tasso di compilazione","98.1"
"1. CARATTERISTICHE ANAGRAFICHE"
"",""
"Genere (%)"," "
"Uomini","77.8"
"Donne","22.2"
"Età alla laurea (%) "," "
"Meno di 23 anni","-"
"23-24 anni","40.7"
"25-26 anni","48.1"
"27 anni e oltre","11.1"
"Età alla laurea (medie, in anni)","25.5"
"Cittadini stranieri (%) ","1.9"
"Residenza (%) "," "
"Stessa provincia della sede degli studi","77.8"
"Altra provincia della stessa regione","13.0"
"Altra regione","7.4"
"Estero","1.9"
"2. ORIGINE SOCIALE"
"",""
"Titolo di studio dei genitori (%) "," "
"Almeno un genitore laureato","41.5"
"Entrambi con laurea","18.9"
"Uno solo con laurea","22.6"
"Nessun genitore laureato","58.5"
"Diploma di scuola secondaria di secondo grado","52.8"
"Qualifica professionale, titolo inferiore o nessun titolo","5.7"
"Classe sociale (%) "," "
"Classe elevata","22.6"
"Classe media impiegatizia","43.4"
"Classe media autonoma","11.3"
"Classe del lavoro esecutivo","20.8"
"3. STUDI SECONDARI DI SECONDO GRADO"
"",""
"Diploma (%) "," "
"Liceale","77.8"
"Liceo classico","9.3"
"Liceo linguistico","1.9"
"Liceo scientifico","66.7"
"Liceo delle scienze umane","-"
"Liceo artistico e musicale e coreutico","-"
"Tecnico","20.4"
"Tecnico economico","1.9"
"Tecnico tecnologico","18.5"
"Professionale","-"
"Titolo estero","1.9"
"Voto di diploma (medie, in 100-mi) ","88.6"
"Hanno conseguito il diploma (%) "," "
"Nella stessa provincia della sede degli studi universitari","77.8"
"In una provincia limitrofa","13.0"
"In una provincia non limitrofa, ma nella stessa ripartizione geografica","-"
"Al Sud-Isole, ma si sono laureati al Centro o al Nord","7.4"
"Al Centro, ma si sono laureati al Nord o al Sud-Isole","-"
"Al Nord, ma si sono laureati al Centro o al Sud-Isole","-"
"All'estero","1.9"
"4. RIUSCITA NEGLI STUDI UNIVERSITARI"
"",""
"Hanno precedenti esperienze universitarie (%) ","100.0"
"Portate a termine","100.0"
"Non portate a termine","-"
"Nessuna precedente esperienza universitaria","-"
"Titolo universitario precedente all'iscrizione alla laurea magistrale (%) "," "
"Titolo di primo livello italiano","100.0"
"Altro titolo italiano","-"
"Titolo estero","-"
"Ateneo di conseguimento del precedente titolo universitario (per 100 che hanno un precedente titolo di primo livello italiano)"," "
"Stesso Ateneo della laurea magistrale","92.5"
"Altro Ateneo del Nord","-"
"Altro Ateneo del Centro","5.7"
"Altro Ateneo del Sud-Isole","1.9"
"Altro Ateneo italiano telematico","-"
"Regolarità negli studi del precedente titolo universitario (per 100 che hanno un precedente titolo di primo livello italiano) "," "
"In corso","71.7"
"1° anno fuori corso","20.8"
"2° anno fuori corso e oltre","7.5"
"Voto di laurea del precedente titolo universitario (medie, in 110-mi; per 100 che hanno un precedente titolo di primo livello italiano) ","100.4"
"Motivazioni molto importanti nella scelta del corso di laurea magistrale (%) "," "
"Fattori sia culturali sia professionalizzanti","52.8"
"Fattori prevalentemente culturali","20.8"
"Fattori prevalentemente professionalizzanti","11.3"
"Né gli uni né gli altri","15.1"
"Età all'immatricolazione (%) "," "
"Regolare o 1 anno di ritardo","83.3"
"2 o più anni di ritardo","16.7"
"Punteggio degli esami (medie, in 30-mi) ","26.1"
"Voto di laurea (medie, in 110-mi) ","108.2"
"Regolarità negli studi  "," "
"In corso","70.4"
"1° anno fuori corso","29.6"
"2° anno fuori corso","-"
"3° anno fuori corso","-"
"4° anno fuori corso","-"
"5° anno fuori corso e oltre","-"
"Durata degli studi (medie, in anni) ","2.5"
