"PROFILO DEI LAUREATI"
"",""
"Numero di laureati","33"
"Hanno compilato il questionario","5"
"Tasso di compilazione","15.2"
"1. CARATTERISTICHE ANAGRAFICHE"
"",""
"Genere (%)"," "
"Uomini","60.6"
"Donne","39.4"
"Età alla laurea (%) "," "
"Meno di 23 anni","-"
"23-24 anni","36.4"
"25-26 anni","30.3"
"27 anni e oltre","33.3"
"Età alla laurea (medie, in anni)","26.3"
"Cittadini stranieri (%) ","81.8"
"Residenza (%) "," "
"Stessa provincia della sede degli studi","15.2"
"Altra provincia della stessa regione","-"
"Altra regione","3.0"
"Estero","81.8"
"2. ORIGINE SOCIALE"
"",""
"Titolo di studio dei genitori (%) "," "
"Almeno un genitore laureato","40.0"
"Entrambi con laurea","20.0"
"Uno solo con laurea","20.0"
"Nessun genitore laureato","60.0"
"Diploma di scuola secondaria di secondo grado","60.0"
"Qualifica professionale, titolo inferiore o nessun titolo","-"
"Classe sociale (%) "," "
"Classe elevata","-"
"Classe media impiegatizia","80.0"
"Classe media autonoma","-"
"Classe del lavoro esecutivo","20.0"
"3. STUDI SECONDARI DI SECONDO GRADO"
"",""
"Diploma (%) "," "
"Liceale","12.1"
"Liceo classico","-"
"Liceo linguistico","-"
"Liceo scientifico","12.1"
"Liceo delle scienze umane","-"
"Liceo artistico e musicale e coreutico","-"
"Tecnico","6.1"
"Tecnico economico","-"
"Tecnico tecnologico","6.1"
"Professionale","-"
"Titolo estero","81.8"
"Voto di diploma (medie, in 100-mi) ","86.7"
"Hanno conseguito il diploma (%) "," "
"Nella stessa provincia della sede degli studi universitari","15.2"
"In una provincia limitrofa","3.0"
"In una provincia non limitrofa, ma nella stessa ripartizione geografica","-"
"Al Sud-Isole, ma si sono laureati al Centro o al Nord","-"
"Al Centro, ma si sono laureati al Nord o al Sud-Isole","-"
"Al Nord, ma si sono laureati al Centro o al Sud-Isole","-"
"All'estero","81.8"
"4. RIUSCITA NEGLI STUDI UNIVERSITARI"
"",""
"Hanno precedenti esperienze universitarie (%) ","100.0"
"Portate a termine","100.0"
"Non portate a termine","-"
"Nessuna precedente esperienza universitaria","-"
"Titolo universitario precedente all'iscrizione alla laurea magistrale (%) "," "
"Titolo di primo livello italiano","100.0"
"Altro titolo italiano","-"
"Titolo estero","-"
"Ateneo di conseguimento del precedente titolo universitario (per 100 che hanno un precedente titolo di primo livello italiano)"," "
"Stesso Ateneo della laurea magistrale","100.0"
"Altro Ateneo del Nord","-"
"Altro Ateneo del Centro","-"
"Altro Ateneo del Sud-Isole","-"
"Altro Ateneo italiano telematico","-"
"Gruppo disciplinare del precedente titolo universitario (per 100 che hanno un precedente titolo di primo livello italiano)"," "
"Stesso gruppo disciplinare della laurea magistrale","100.0"
"Altro gruppo della laurea magistrale ma stessa area disciplinare","-"
"Altra area disciplinare","-"
"Regolarità negli studi del precedente titolo universitario (per 100 che hanno un precedente titolo di primo livello italiano in Atenei non telematici) "," "
"In corso","20.0"
"1° anno fuori corso","40.0"
"2° anno fuori corso e oltre","40.0"
"Regolarità negli studi del precedente titolo universitario (per 100 che hanno un precedente titolo di primo livello italiano in Atenei telematici) "," "
"In corso","-"
"1° anno fuori corso","-"
"2° anno fuori corso e oltre","-"
"Voto di laurea del precedente titolo universitario (medie, in 110-mi; per 100 che hanno un precedente titolo di primo livello italiano) ","97.8"
"Motivazioni molto importanti nella scelta del corso di laurea magistrale (%) "," "
"Fattori sia culturali sia professionalizzanti","100.0"
"Fattori prevalentemente culturali","-"
"Fattori prevalentemente professionalizzanti","-"
"Né gli uni né gli altri","-"
"Età all'immatricolazione (%) "," "
"Regolare o 1 anno di ritardo","48.5"
"2 o più anni di ritardo","51.5"
"Punteggio degli esami (medie, in 30-mi) ","25.8"
"Voto di laurea (medie, in 110-mi) ","104.7"
"Regolarità negli studi  "," "
"In corso","93.9"
"1° anno fuori corso","6.1"
"2° anno fuori corso","-"
"3° anno fuori corso","-"
"4° anno fuori corso","-"
"5° anno fuori corso e oltre","-"
"Regolarità negli studi (per 100 con titolo in Atenei telematici) "," "
"In corso","-"
"1° anno fuori corso","-"
"2° anno fuori corso","-"
"3° anno fuori corso","-"
"4° anno fuori corso","-"
"5° anno fuori corso e oltre","-"
"Durata degli studi (medie, in anni) ","1.9"
"Durata degli studi (medie, in anni; per 100 con titolo in Atenei telematici) ","-"
"Ritardo alla laurea (medie, in anni) ","-0.1"
"Ritardo alla laurea (medie, in anni; per 100 con titolo in Atenei telematici) ","-"
"Indice di ritardo (rapporto fra ritardo e durata normale del corso) ","-0.07"
"Indice di ritardo (rapporto fra ritardo e durata normale del corso; per 100 con titolo in Atenei telematici) ","-"
"5. CONDIZIONI DI STUDIO"
"",""
"Hanno alloggiato a meno di un'ora di viaggio dalla sede degli studi (%) "," "
"Più del 50% della durata degli studi","80.0"
