"PROFILO DEI LAUREATI"
"",""
"Numero di laureati","14"
"Hanno compilato il questionario","13"
"Tasso di compilazione","92.9"
"1. CARATTERISTICHE ANAGRAFICHE"
"",""
"Genere (%)"," "
"Uomini","100.0"
"Donne","-"
"Età alla laurea (%) "," "
"Meno di 23 anni","-"
"23-24 anni","21.4"
"25-26 anni","64.3"
"27 anni e oltre","14.3"
"Età alla laurea (medie, in anni)","26.1"
"Cittadini stranieri (%) ","7.1"
"Residenza (%) "," "
"Stessa provincia della sede degli studi","7.1"
"Altra provincia della stessa regione","78.6"
"Altra regione","14.3"
"Estero","-"
"2. ORIGINE SOCIALE"
"",""
"Titolo di studio dei genitori (%) "," "
"Almeno un genitore laureato","30.8"
"Entrambi con laurea","15.4"
"Uno solo con laurea","15.4"
"Nessun genitore laureato","69.2"
"Diploma di scuola secondaria di secondo grado","61.5"
"Qualifica professionale, titolo inferiore o nessun titolo","7.7"
"Classe sociale (%) "," "
"Classe elevata","23.1"
"Classe media impiegatizia","38.5"
"Classe media autonoma","23.1"
"Classe del lavoro esecutivo","15.4"
"3. STUDI SECONDARI DI SECONDO GRADO"
"",""
"Diploma (%) "," "
"Liceale","64.3"
"Liceo classico","-"
"Liceo linguistico","-"
"Liceo scientifico","64.3"
"Liceo delle scienze umane","-"
"Liceo artistico e musicale e coreutico","-"
"Tecnico","21.4"
"Tecnico economico","7.1"
"Tecnico tecnologico","14.3"
"Professionale","-"
"Titolo estero","14.3"
"Voto di diploma (medie, in 100-mi) ","93.2"
"Hanno conseguito il diploma (%) "," "
"Nella stessa provincia della sede degli studi universitari","-"
"In una provincia limitrofa","50.0"
"In una provincia non limitrofa, ma nella stessa ripartizione geografica","14.3"
"Al Sud-Isole, ma si sono laureati al Centro o al Nord","14.3"
"Al Centro, ma si sono laureati al Nord o al Sud-Isole","-"
"Al Nord, ma si sono laureati al Centro o al Sud-Isole","7.1"
"All'estero","14.3"
"4. RIUSCITA NEGLI STUDI UNIVERSITARI"
"",""
"Hanno precedenti esperienze universitarie (%) ","100.0"
"Portate a termine","100.0"
"Non portate a termine","-"
"Nessuna precedente esperienza universitaria","-"
"Titolo universitario precedente all'iscrizione alla laurea magistrale (%) "," "
"Titolo di primo livello italiano","92.3"
"Altro titolo italiano","-"
"Titolo estero","7.7"
"Ateneo di conseguimento del precedente titolo universitario (per 100 che hanno un precedente titolo di primo livello italiano)"," "
"Stesso Ateneo della laurea magistrale","91.7"
"Altro Ateneo del Nord","-"
"Altro Ateneo del Centro","8.3"
"Altro Ateneo del Sud-Isole","-"
"Altro Ateneo italiano telematico","-"
"Regolarità negli studi del precedente titolo universitario (per 100 che hanno un precedente titolo di primo livello italiano) "," "
"In corso","33.3"
"1° anno fuori corso","50.0"
"2° anno fuori corso e oltre","16.7"
"Voto di laurea del precedente titolo universitario (medie, in 110-mi; per 100 che hanno un precedente titolo di primo livello italiano) ","101.4"
"Motivazioni molto importanti nella scelta del corso di laurea magistrale (%) "," "
"Fattori sia culturali sia professionalizzanti","69.2"
"Fattori prevalentemente culturali","7.7"
"Fattori prevalentemente professionalizzanti","23.1"
"Né gli uni né gli altri","-"
"Età all'immatricolazione (%) "," "
"Regolare o 1 anno di ritardo","71.4"
"2 o più anni di ritardo","28.6"
"Punteggio degli esami (medie, in 30-mi) ","28.1"
"Voto di laurea (medie, in 110-mi) ","110.6"
"Regolarità negli studi  "," "
"In corso","50.0"
"1° anno fuori corso","50.0"
"2° anno fuori corso","-"
"3° anno fuori corso","-"
"4° anno fuori corso","-"
"5° anno fuori corso e oltre","-"
"Durata degli studi (medie, in anni) ","2.6"
"Ritardo alla laurea (medie, in anni) ","0.6"
"Indice di ritardo (rapporto fra ritardo e durata normale del corso) ","0.30"
"5. CONDIZIONI DI STUDIO"
"",""
"Hanno alloggiato a meno di un'ora di viaggio dalla sede degli studi (%) "," "
"Più del 50% della durata degli studi","69.2"
"Meno del 50%","30.8"
"Hanno frequentato regolarmente (%) "," "
"Più del 75% degli insegnamenti previsti","84.6"
"Tra il 50% e il 75%","-"
"Tra il 25% e il 50%","15.4"
"Meno del 25%","-"
"Hanno usufruito del servizio di borse di studio offerto dall'organismo per il Diritto allo Studio ","23.1"
"Hanno svolto periodi di studio all'estero durante il corso magistrale (%) ","-"
"Hanno svolto periodi di studio all’estero riconosciuti dal corso di studio","-"
"Con Erasmus o altro programma dell'Unione Europea","-"
"Altra esperienza riconosciuta dal corso di studio","-"
"Hanno svolto periodi di studio all’estero riconosciuti solo nel precedente corso di studio ","-"
"1 o più esami all'estero convalidati (per 100 che hanno svolto esperienze di studio all'estero riconosciute dal corso che stanno concludendo)","-"
"Hanno preparato all'estero una parte significativa della tesi (per 100 che hanno svolto esperienze di studio all'estero riconosciute dal corso che stanno concludendo)","-"
"Hanno svolto tirocini formativi curriculari o lavoro riconosciuti dal corso di laurea magistrale (%) ","7.7"
"Tirocini curriculari organizzati dal corso e svolti presso l'università","-"
"Tirocini curriculari organizzati dal corso e svolti al di fuori dell'università","-"
"Attività di lavoro successivamente riconosciute dal corso","7.7"
"Hanno svolto tirocini formativi curriculari o lavoro riconosciuti solo nel precedente corso di studio ","7.7"
"Tempo impiegato per la tesi/prova finale (medie, in mesi)","6.1"
"6. LAVORO DURANTE GLI STUDI UNIVERSITARI"
"",""
"Hanno avuto esperienze di lavoro (%) ","38.5"
"Lavoratori-studenti","-"
"Altre esperienze di lavoro con continuità a tempo pieno","7.7"
"Lavoro a tempo parziale","7.7"
"Lavoro occasionale, saltuario, stagionale","23.1"
"Nessuna esperienza di lavoro","61.5"
"Lavoro coerente con gli studi (per 100 che hanno avuto esperienze di lavoro)","40.0"
"7. GIUDIZI SULL'ESPERIENZA UNIVERSITARIA"
"",""
"Sono complessivamente soddisfatti del corso di laurea magistrale (%)"," "
"Decisamente sì","30.8"
"Più sì che no","61.5"
"Più no che sì","7.7"
"Decisamente no","-"
"Sono soddisfatti dei rapporti con i docenti in generale (%)"," "
"Decisamente sì","23.1"
"Più sì che no","61.5"
"Più no che sì","15.4"
"Decisamente no","-"
"Sono soddisfatti dei rapporti con gli studenti (%)"," "
"Decisamente sì","53.8"
"Più sì che no","38.5"
"Più no che sì","7.7"
"Decisamente no","-"
"Hanno utilizzato le aule (%) ","84.6"
"Valutazione delle aule (per 100 fruitori)"," "
"Sempre o quasi sempre adeguate","27.3"
"Spesso adeguate","72.7"
"Raramente adeguate","-"
"Mai adeguate","-"
"Hanno utilizzato le postazioni informatiche (%) ","76.9"
"Non le hanno utilizzate nonostante fossero presenti","23.1"
"Non le hanno utilizzate in quanto non presenti","-"
"Valutazione delle postazioni informatiche (per 100 fruitori)"," "
"In numero adeguato","90.0"
"In numero inadeguato","10.0"
"Hanno utilizzato i servizi di biblioteca (prestito/consultazione, orari di apertura, ...) (%) ","46.2"
"Valutazione dei servizi di biblioteca (prestito/consultazione, orari di apertura, ...) (per 100 fruitori)"," "
"Decisamente positiva","50.0"
"Abbastanza positiva","50.0"
"Abbastanza negativa","-"
"Decisamente negativa","-"
"Hanno utilizzato le attrezzature per le altre attività didattiche (laboratori, attività pratiche, ...) (%)","92.3"
"Valutazione delle attrezzature per le altre attività didattiche (laboratori, attività pratiche, …) (per 100 fruitori)"," "
"Sempre o quasi sempre adeguate","50.0"
"Spesso adeguate","50.0"
"Raramente adeguate","-"
"Mai adeguate","-"
"Hanno utilizzato gli spazi dedicati allo studio individuale (%)","69.2"
"Non li hanno utilizzati nonostante fossero presenti","30.8"
"Non li hanno utilizzati in quanto non presenti","-"
"Valutazione degli spazi dedicati allo studio individuale (per 100 fruitori)"," "
"Adeguati","77.8"
"Inadeguati","22.2"
"Hanno usufruito dei servizi di orientamento allo studio post-laurea (%)","53.8"
"Sono soddisfatti dei servizi di orientamento allo studio post-laurea (per 100 fruitori)"," "
"Decisamente sì","42.9"
"Più sì che no","42.9"
"Più no che sì","-"
"Decisamente no","14.3"
"Hanno usufruito di iniziative formative di orientamento al lavoro (%)","46.2"
"Sono soddisfatti delle iniziative formative di orientamento al lavoro (per 100 fruitori)"," "
"Decisamente sì","33.3"
"Più sì che no","50.0"
"Più no che sì","-"
"Decisamente no","16.7"
"Hanno usufruito dei servizi di sostegno alla ricerca del lavoro (%)","53.8"
"Sono soddisfatti dei servizi di sostegno alla ricerca del lavoro (per 100 fruitori)"," "
"Decisamente sì","28.6"
"Più sì che no","57.1"
"Più no che sì","-"
"Decisamente no","14.3"
"Hanno usufruito dell'ufficio/servizi job placement (%)","46.2"
"Sono soddisfatti dell'organizzazione dell'ufficio/servizi job placement (per 100 fruitori)"," "
"Decisamente sì","33.3"
"Più sì che no","66.7"
"Più no che sì","-"
"Decisamente no","-"
"Hanno usufruito dei servizi delle segreterie studenti (%)","76.9"
"Sono soddisfatti dei servizi delle segreterie studenti (per 100 fruitori)"," "
"Decisamente sì","30.0"
"Più sì che no","30.0"
"Più no che sì","40.0"
"Decisamente no","-"
"Hanno ritenuto l'organizzazione degli esami (appelli, orari, informazioni, prenotazioni, ...) soddisfacente (%)"," "
"Sempre o quasi sempre","61.5"
"Per più della metà degli esami","30.8"
"Per meno della metà degli esami","7.7"
"Mai o quasi mai","-"
"Hanno ritenuto il carico di studio degli insegnamenti adeguato alla durata del corso di studio (%)"," "
"Decisamente sì","30.8"
"Più sì che no","46.2"
"Più no che sì","15.4"
"Decisamente no","7.7"
"Si iscriverebbero di nuovo al corso di laurea magistrale? (%)"," "
"Sì, allo stesso corso magistrale dell'Ateneo","61.5"
"Sì, ma ad un altro corso magistrale dell'Ateneo","7.7"
"Sì, allo stesso corso magistrale, ma in un altro Ateneo","7.7"
"Sì, ma ad un altro corso magistrale e in un altro Ateneo","-"
"Non si iscriverebbero più a nessun corso di laurea magistrale","23.1"
"8. CONOSCENZE LINGUISTICHE E INFORMATICHE"
"",""
"Lingue straniere: conoscenza “almeno B2” (%) "," "
"Inglese scritto","100.0"
"Inglese parlato","100.0"
"Francese scritto","-"
"Francese parlato","-"
"Spagnolo scritto","-"
"Spagnolo parlato","-"
"Tedesco scritto","-"
"Tedesco parlato","-"
"Strumenti informatici: livello di conoscenza "almeno buona" (%) "," "
"Navigazione in Internet e comunicazione in rete","100.0"
"Word processor","92.3"
"Fogli elettronici","84.6"
"Strumenti di presentazione","84.6"
"Sistemi operativi","100.0"
"Linguaggi di programmazione","100.0"
"Data base","100.0"
"Realizzazione siti web","76.9"
"Reti di trasmissione dati","92.3"
"Disegno e progettazione assistita","-"
"9. PROSPETTIVE DI STUDIO"
"",""
"Intendono proseguire gli studi dopo il conseguimento del titolo (%)","15.4"
"Laurea di primo livello","-"
"Altra laurea magistrale biennale","-"
"Laurea magistrale a ciclo unico","-"
"Altro titolo equiparato alla laurea ","-"
"Dottorato di ricerca ","7.7"
"Scuola di specializzazione post-laurea","-"
"Master universitario","7.7"
"Altro tipo di master o corso di perfezionamento","-"
"Tirocinio, praticantato","-"
"Attività sostenuta da borsa o assegno di studio","-"
"Altre attività di qualificazione professionale","-"
"Non intendono proseguire","84.6"
"10. PROSPETTIVE DI LAVORO"
"",""
"Aspetti ritenuti rilevanti nella ricerca del lavoro: decisamente sì (%)"," "
"Acquisizione di professionalità","69.2"
"Possibilità di carriera","76.9"
"Possibilità di guadagno","84.6"
"Stabilità/sicurezza del posto di lavoro","69.2"
"Rispondenza agli interessi culturali","23.1"
"Coerenza con gli studi","69.2"
"Utilità sociale del lavoro","30.8"
"Prestigio ricevuto dal lavoro","30.8"
"Coinvolgimento e partecipazione all’attività lavorativa e ai processi decisionali","30.8"
"Indipendenza o autonomia","53.8"
"Flessibilità dell’orario di lavoro","61.5"
